id,subject_name,subject_level
1,GP,H1
2,MATH,H1
3,MATH,H2
4,MATH,H3
5,FM,H2
6,COMP,H2
7,PHY,H1
8,PHY,H2
9,PHY,H3
10,CHEM,H1
11,CHEM,H2
12,CHEM,H3
13,ECONS,H1
14,ECONS,H2
15,ECONS,H3
16,BIO,H1
17,BIO,H2
18,BIO,H3
19,GEO,H1
20,GEO,H2
21,GEO,H3
22,HIST,H1
23,HIST,H2
24,HIST,H3
25,ELIT,H1
26,ELIT,H2
27,ELIT,H3
28,ART,H1
29,ART,H2
30,ART,H3
31,CLTRANS,H2
32,CL,H2
33,ML,H1
34,ML,H2
35,ML,H3
36,TL,H2
37,CLL,H2
38,CLL,H3
39,CLB,H1
40,PW,H1
41,PUNJABI,H1
42,PUNJABI,H2
43,HINDI,H1
44,HINDI,H2
45,BENGALESE,H1
46,BENGALESE,H2
47,JAPANESE,H1
48,JAPANESE,H2